,id,Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
id,1.0,0.020322182391359356,0.09550355698026304,-0.023096397505800347,-0.002192003784929468,0.013400018643933944,-0.00011308172142536716,-0.0005103863870141236,0.0555378868532561,0.052164192111231925,0.0016204382090926415,0.0555016852339532,0.044088355226242576,0.07456926836256925,0.07932520874303046,0.0787930169898976,0.024047504974530523,-0.01764349869234432,-0.03565678885683237
Age,0.020322182391359356,1.0,0.09945932275218457,0.01611621602192464,0.036960263403336066,0.02256523784810872,-0.0003980757608001313,0.023193712314367995,0.20757242312306515,0.1591359282063257,0.07494651586356997,0.05707762069077299,0.03911900445969166,-0.047991040567883614,0.033475308500286044,-0.05134661107519759,0.05256510100607347,-0.00904058585266975,-0.011247758576541282
Flight Distance,0.09550355698026304,0.09945932275218457,1.0,0.006701295261179787,-0.018914242564012595,0.06516544868990952,0.005519659168165382,0.05706572461517077,0.21482493063346272,0.15766225568726322,0.13050704813195493,0.11119374028986227,0.13453277239546824,0.06485481793352599,0.07360836171787967,0.05931577955191317,0.09564782805568166,0.0024020057972095115,-0.0019345473636829336
Inflight wifi service,-0.023096397505800347,0.01611621602192464,0.006701295261179787,1.0,0.3449151813513479,0.7148068486610194,0.3385732307635877,0.13221387242658295,0.4574452191617424,0.12151324470010644,0.20780164777227836,0.1199276828763553,0.1603169586130794,0.12037590073327172,0.04376236607928254,0.11002855385227804,0.13129952568898778,-0.015946475357288614,-0.017749410590902136
Departure/Arrival time convenient,-0.002192003784929468,0.036960263403336066,-0.018914242564012595,0.3449151813513479,1.0,0.43761965450614626,0.4475099457857572,0.000686683247212066,0.07228689169756107,0.008666444776331161,-0.008380014063922595,0.06729697871103509,0.010617107836989305,0.07083303587647814,0.09113175887254531,0.07219480296751044,0.009862084641799471,0.0007784567833266339,-0.0009420291905282793
Ease of Online booking,0.013400018643933944,0.02256523784810872,0.06516544868990952,0.7148068486610194,0.43761965450614626,1.0,0.4600405472940355,0.030513981818548926,0.40486575822056936,0.028560732873587825,0.046563505470488736,0.03906419035948572,0.10944965526790087,0.0391482820487727,0.008819308212135673,0.03537256693831558,0.015124786217322323,-0.005317786352469882,-0.007033325368386493
Gate location,-0.00011308172142536716,-0.0003980757608001313,0.005519659168165382,0.3385732307635877,0.4475099457857572,0.4600405472940355,1.0,-0.002872195933516205,0.0027559843997710057,0.00278794440354492,0.002740829633866139,-0.029018769284472154,-0.005181100226067108,0.0009719310259387703,-0.039353015746941666,0.00031041522651563294,-0.00591765559016903,0.005973438227422698,0.005657951600723477
Food and drink,-0.0005103863870141236,0.023193712314367995,0.05706572461517077,0.13221387242658295,0.000686683247212066,0.030513981818548926,-0.002872195933516205,1.0,0.23350019004076064,0.5758461771082379,0.6234609372449155,0.05740400989737631,0.03317279398216957,0.03532074419753278,0.08519787654060576,0.03520966278193293,0.6580539298388816,-0.029164345456888,-0.031715147181874924
Online boarding,0.0555378868532561,0.20757242312306515,0.21482493063346272,0.4574452191617424,0.07228689169756107,0.40486575822056936,0.0027559843997710057,0.23350019004076064,1.0,0.41925275681081825,0.28392154013953086,0.15424223738740594,0.12322546989937695,0.08354148905251854,0.20423801471241043,0.07405844132774049,0.32937739292364576,-0.019404233414002194,-0.02272957785809198
Seat comfort,0.052164192111231925,0.1591359282063257,0.15766225568726322,0.12151324470010644,0.008666444776331161,0.028560732873587825,0.00278794440354492,0.5758461771082379,0.41925275681081825,1.0,0.6118366570012349,0.1305448754205123,0.1042724002449697,0.0746195520373874,0.1899791172607098,0.06884214923282393,0.6796130028766091,-0.027999452941770996,-0.03052080053362243
Inflight entertainment,0.0016204382090926415,0.07494651586356997,0.13050704813195493,0.20780164777227836,-0.008380014063922595,0.046563505470488736,0.002740829633866139,0.6234609372449155,0.28392154013953086,0.6118366570012349,1.0,0.41857357501798886,0.30039744238990007,0.37912275717780014,0.11955403299469247,0.40609360838443465,0.6925105378478508,-0.0270122883371604,-0.030230201856879895
On-board service,0.0555016852339532,0.05707762069077299,0.11119374028986227,0.1199276828763553,0.06729697871103509,0.03906419035948572,-0.029018769284472154,0.05740400989737631,0.15424223738740594,0.1305448754205123,0.41857357501798886,1.0,0.3577213165974922,0.5202955277523185,0.2446186689404917,0.5515688281106751,0.12208375652687393,-0.03048643381865953,-0.034789200196587135
Leg room service,0.044088355226242576,0.03911900445969166,0.13453277239546824,0.1603169586130794,0.010617107836989305,0.10944965526790087,-0.005181100226067108,0.03317279398216957,0.12322546989937695,0.1042724002449697,0.30039744238990007,0.3577213165974922,1.0,0.3714546839078667,0.15269321602038682,0.36956947785588745,0.09669472408851167,0.014574214758894003,0.011345601741835529
Baggage handling,0.07456926836256925,-0.047991040567883614,0.06485481793352599,0.12037590073327172,0.07083303587647814,0.0391482820487727,0.0009719310259387703,0.03532074419753278,0.08354148905251854,0.0746195520373874,0.37912275717780014,0.5202955277523185,0.3714546839078667,1.0,0.23450312820140612,0.6292371966888989,0.0970714895771608,-0.0041048724890232445,-0.007935105222614305
Checkin service,0.07932520874303046,0.033475308500286044,0.07360836171787967,0.04376236607928254,0.09113175887254531,0.008819308212135673,-0.039353015746941666,0.08519787654060576,0.20423801471241043,0.1899791172607098,0.11955403299469247,0.2446186689404917,0.15269321602038682,0.23450312820140612,1.0,0.2376012425793723,0.1766580310272163,-0.018752314744569374,-0.021704646428629237
Inflight service,0.0787930169898976,-0.05134661107519759,0.05931577955191317,0.11002855385227804,0.07219480296751044,0.03537256693831558,0.00031041522651563294,0.03520966278193293,0.07405844132774049,0.06884214923282393,0.40609360838443465,0.5515688281106751,0.36956947785588745,0.6292371966888989,0.2376012425793723,1.0,0.09035597956558464,-0.05443231372530484,-0.05985272606682664
Cleanliness,0.024047504974530523,0.05256510100607347,0.09564782805568166,0.13129952568898778,0.009862084641799471,0.015124786217322323,-0.00591765559016903,0.6580539298388816,0.32937739292364576,0.6796130028766091,0.6925105378478508,0.12208375652687393,0.09669472408851167,0.0970714895771608,0.1766580310272163,0.09035597956558464,1.0,-0.014542660176509724,-0.016545912488802723
Departure Delay in Minutes,-0.01764349869234432,-0.00904058585266975,0.0024020057972095115,-0.015946475357288614,0.0007784567833266339,-0.005317786352469882,0.005973438227422698,-0.029164345456888,-0.019404233414002194,-0.027999452941770996,-0.0270122883371604,-0.03048643381865953,0.014574214758894003,-0.0041048724890232445,-0.018752314744569374,-0.05443231372530484,-0.014542660176509724,1.0,0.9652911835463153
Arrival Delay in Minutes,-0.03565678885683237,-0.011247758576541282,-0.0019345473636829336,-0.017749410590902136,-0.0009420291905282793,-0.007033325368386493,0.005657951600723477,-0.031715147181874924,-0.02272957785809198,-0.03052080053362243,-0.030230201856879895,-0.034789200196587135,0.011345601741835529,-0.007935105222614305,-0.021704646428629237,-0.05985272606682664,-0.016545912488802723,0.9652911835463153,1.0
